css-175oi2r href,css-9pa8cd src,css-1jxf684,css-1jxf684 2,css-1jxf684 3,css-146c3p1,css-1jxf684 4,css-1jxf684 5,css-1jxf684 6,css-1jxf684 7,css-146c3p1 href,css-175oi2r href 4
https://x.com/miscellany101,https://pbs.twimg.com/profile_images/1965385327079460865/Lxl561ih_normal.jpg,miscellany101,@miscellany101,·,3h,Gas prices in a purple state at the beginning of the war and gas prices yesterday at the same pump. How is this war that America started in Americans' interest?,112,2,,https://x.com/miscellany101/status/2038946302143127712,https://x.com/miscellany101/status/2038946302143127712/analytics
https://x.com/badoudi98567755,https://pbs.twimg.com/profile_images/1808591186543747072/Hz4Ptp6S_normal.jpg,GBI NEWS,@badoudi98567755,·,7h,True US trillions on wars could transform lives at home. Peace dividend needed.,51,,,https://x.com/badoudi98567755/status/2038897323418304797,https://x.com/badoudi98567755/status/2038897323418304797/analytics
https://x.com/VanceElean12934,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Eleanor Vance,@VanceElean12934,·,13h,Whose idea was the US's current war?,642,,,https://x.com/VanceElean12934/status/2038803619282342296,https://x.com/VanceElean12934/status/2038803619282342296/analytics
https://x.com/LezTonny,https://pbs.twimg.com/profile_images/1721755837654552576/kaC-C-4v_normal.jpg,Tonny Lez,@LezTonny,·,15h,"according to MAGA america need to spend money for wars.. Trilions of it, its called ""Peace through Strength""

The Strength...",1.9K,1,9,https://x.com/LezTonny/status/2038773230518050897,https://x.com/LezTonny/status/2038773230518050897/analytics
https://x.com/Davizzy77,https://pbs.twimg.com/profile_images/1597681843985436676/WF3Nj_RU_normal.jpg,Davizzy_CFC,@Davizzy77,·,18h,"That argument cuts both ways—if governments prioritized people over war, everyone would be better off.",731,5,4,https://x.com/Davizzy77/status/2038728855867863128,https://x.com/Davizzy77/status/2038728855867863128/analytics
https://x.com/kawaiibsfr,https://pbs.twimg.com/profile_images/2025619165910851584/sflr7JTb_normal.jpg,Kawaii 🫆,@kawaiibsfr,·,8h,They are same on that regard,142,1,,https://x.com/kawaiibsfr/status/2038874831039656148,https://x.com/kawaiibsfr/status/2038874831039656148/analytics
https://x.com/catalinamike47,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,catalinamike47,@catalinamike47,·,13h,Imagine not spending on technology and defense.  We would be speaking German and Japanese!,64,,,https://x.com/catalinamike47/status/2038795967655481475,https://x.com/catalinamike47/status/2038795967655481475/analytics
https://x.com/ParalaxView,https://pbs.twimg.com/profile_images/2021850986977824769/REhMZsD-_normal.jpg,E.D. Kelley,@ParalaxView,·,14h,"Dude, do you even hear yourself? $919B · American Defense spending (FY 2025)",568,,,https://x.com/ParalaxView/status/2038779519625019521,https://x.com/ParalaxView/status/2038779519625019521/analytics
https://x.com/Fievel131,https://pbs.twimg.com/profile_images/1590206384968241152/SHw_rhTb_normal.jpg,@Fievel131.,@Fievel131,·,15h,,149,1,6,https://x.com/Fievel131/status/2038766751526125602,https://x.com/Fievel131/status/2038766751526125602/analytics
https://x.com/HamishMilmine,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Hamish Milmine,@HamishMilmine,·,9h,"Oh so simple Proud socialist. Or, in another scenario the USA would have been nuked already if it didnt have a military to protect it",257,,,https://x.com/HamishMilmine/status/2038866705838211280,https://x.com/HamishMilmine/status/2038866705838211280/analytics
https://x.com/BahIdiouthierno,https://pbs.twimg.com/profile_images/2003912193168023552/R1QGh3Bf_normal.png,IDIOUTHIERNO BAH,@BahIdiouthierno,·,11h,"Allahu Akbar media war for loose, US should spend American taxpayers money on health care instead of endless wars",92,1,,https://x.com/BahIdiouthierno/status/2038837604729188773,https://x.com/BahIdiouthierno/status/2038837604729188773/analytics
https://x.com/Amososime,https://pbs.twimg.com/profile_images/2027721772443811840/TuWbXn3-_normal.jpg,Official Osime,@Amososime,·,4h,"The same should be said about the US too. We have got a lot of people in need of housing, healthcare, shelter. Imagine what $2 billion daily of war fund can do",200,1,7,https://x.com/Amososime/status/2038935883206762990,https://x.com/Amososime/status/2038935883206762990/analytics
https://x.com/FormlessEntity,https://pbs.twimg.com/profile_images/1767044816574230528/pKIv4B6E_normal.jpg,Jack Flak,@FormlessEntity,·,10h,The world would have peace if the US disarmed?,133,1,,https://x.com/FormlessEntity/status/2038842268552163437,https://x.com/FormlessEntity/status/2038842268552163437/analytics
https://x.com/toghrol1975,https://pbs.twimg.com/profile_images/2038510760180187137/tFa4oTdb_normal.jpg,Toghrol,@toghrol1975,·,7h,"The United States has a military budget 60 times more than Iran, yet it sees no threat to itself, while Iran is constantly threatened by Israel and the United States.",206,1,,https://x.com/toghrol1975/status/2038888221241946135,https://x.com/toghrol1975/status/2038888221241946135/analytics
https://x.com/BoydBischke,https://pbs.twimg.com/profile_images/1997017927233757184/z7HOlwfX_normal.jpg,Boyd Bischke,@BoydBischke,·,15h,"Imagine if instead of spending $800b on defense we spent over $4tn per year on entitlements.

Ohh wait we do spent over $4tn per year on entitlements.",494,1,,https://x.com/BoydBischke/status/2038764477211082861,https://x.com/BoydBischke/status/2038764477211082861/analytics
https://x.com/envoisier,https://pbs.twimg.com/profile_images/1168168871053971458/uV8nDMCz_normal.jpg,LESLIE VAIZEY,@envoisier,·,10h,But they would’´t be to defend themselves or kick the arse of terrorist nations like the USA and Israël. And how much does the USA spend on terrorist wars ? And what about the suffering poor and sick in the USA ? You are all lying louts.,49,,,https://x.com/envoisier/status/2038843140665151587,https://x.com/envoisier/status/2038843140665151587/analytics
https://x.com/1Ark4humanity,https://pbs.twimg.com/profile_images/2038641928510877696/yDwLMqF9_normal.jpg,Creations HQ's,@1Ark4humanity,·,58s,"The lack of self-awareness is astounding.

“Imagine if they spent that money on their people.”

We should.

Trillions poured into war
while our own people struggle to live.

And they say it with a straight face.

Either they don’t see it
or they do, and they don’t care.",2,,,https://x.com/1Ark4humanity/status/2039003966747623925,https://x.com/1Ark4humanity/status/2039003966747623925/analytics
https://x.com/justjimsopinion,https://pbs.twimg.com/profile_images/1935678332797947904/fs-fpL8__normal.jpg,JustJimsOpinion,@justjimsopinion,·,13h,"CONGRATULATIONS TRUMP ADMINISTRATION!
(With a shoutout to Congress as well!)

You’ve made America Israel’s little bitch. Taken the greatest military in the world & made them a proxy army for a country that today said THEIR troops will NOT be sent onto the battlefield. 

Let me",223,,,https://x.com/justjimsopinion/status/2038805564847731051,https://x.com/justjimsopinion/status/2038805564847731051/analytics
https://x.com/pirulo_51,https://pbs.twimg.com/profile_images/1651195552116232193/tUz7lhZg_normal.jpg,Pirulo Rivera,@pirulo_51,·,16h,,73,3,,https://x.com/pirulo_51/status/2038759232804118782,https://x.com/pirulo_51/status/2038759232804118782/analytics
https://x.com/SapphoDe,https://pbs.twimg.com/profile_images/1623015472/Sappho_normal.jpg,Sappho de Miranda,@SapphoDe,·,14h,Has your lamestream media and their lamestream reporters challenged him on that rather explosive claim?,77,,,https://x.com/SapphoDe/status/2038780357806530974,https://x.com/SapphoDe/status/2038780357806530974/analytics
https://x.com/isaiah_tunga,https://pbs.twimg.com/profile_images/2002589492633296897/B2Wc-FrE_normal.jpg,Isaiah T,@isaiah_tunga,·,15h,Who are you to tell Iranians what to do with their money?,35,2,,https://x.com/isaiah_tunga/status/2038764489793745368,https://x.com/isaiah_tunga/status/2038764489793745368/analytics
https://x.com/travissidelinge,https://pbs.twimg.com/profile_images/1613447914394640384/S3044br2_normal.jpg,Travis Sidelinger,@travissidelinge,·,5h,"Imagine if the United States spent trillions on it's own people and infrastructure instead of spending it on war.

You really screwed up starting this war.",47,,,https://x.com/travissidelinge/status/2038923299921567778,https://x.com/travissidelinge/status/2038923299921567778/analytics
